car_name;reviews_count;fuel_type;engine_displacement;no_cylinder;seating_capacity;transmission_type;fuel_tank_capacity;body_type;rating;starting_price;ending_price;max_torque_nm;max_torque_rpm;max_power_bhp;max_power_rp;churn
Land Rover Range Rover Sport;7;Diesel;2997;6;5;Automatic;0;SUV;4.5;16400000;18,400,000;700;3000;345.98;4000;True
Lexus RX;5;Petrol;3456;6;5;Automatic;65;SUV;5;726,000;726,000;335;4600;258.81;6000;True
Porsche Cayenne;12;Petrol;3996;8;5;Automatic;90;SUV;4.5;12700000;19,300,000;770;4500;550;6000;True
Maserati Ghibli;2;Petrol;3799;8;5;Automatic;80;Sedan;3;11,500,000;19,300,000;450;1500;330;1500;False
Rolls Royce Dawn;2;Petrol;6598;12;4;Automatic;0;Convertible;4;20800000;20,800,000;820;5000;563;6000;True
Maserati Quattroporte;2;Petrol;3799;8;5;Automatic;80;Sedan;4.5;17100000;21,200,000;650;4000;530;6800;True
Nissan GT-R;20;Petrol;3798;6;4;Automatic;74;Coupe;4.5;21200000;21,200,000;637;5800;562.2;6800;True
Mercedes-Benz AMG GLE 63 S;2;Petrol;3982;8;5;Automatic;0;SUV;4.5;21500000;21,500,000;850;5000;603.46;6500;True
Mercedes-Benz GLC Coupe;5;Diesel;1950;4;5;Automatic;66;Coupe;5;3,132,000;3,132,000;500;2400;241.38;4200;True
Land Rover Defender;13;Petrol;4997;4;7;Automatic;89;SUV;4.5;8072000;21,900,000;650;2500;296.36;4000;True
Lexus LX;1;Petrol;5663;8;8;Automatic;93;SUV;5;8,700,000;8,700,000;530;3200;362;5600;True
Lexus LS;3;Petrol;3456;6;4;Automatic;82;Sedan;4.5;19100000;22,200,000;350;5100;354;6600;True
BMW M4 Competition;11;Petrol;2993;6;5;Automatic;0;Coupe;4.5;16200000;22,300,000;650;5500;502.88;6250;True
Audi RS7;4;Petrol;3996;6;4;Automatic;73;Luxury;4.5;22400000;22,400,000;800;4500;591;6250;True
Mahindra Bolero PikUp ExtraLong;5;Diesel;2523;4;2;Manual;60;Pickup Truck;4.5;23300000;23,300,000;200;2200;75.09;3200;True
Porsche Taycan;8;Electric;0;0;5;Electric;0;Wagon;4.5;15300000;23,400,000;650;0;482.76;0;True
Mercedes-Benz GLS;10;Petrol;3982;8;7;Automatic;90;SUV;4.5;11600000;24,700,000;730;4500;549.81;6500;True
Lexus LC 500h;1;Petrol;3456;6;4;Automatic;82;Coupe;4.5;22500000;25,100,000;350;5100;295.02;6600;True
Mercedes-Benz EQS;2;Electric;0;0;5;Electric;0;Sedan;5;25,400,000;25,400,000;1020;0;750.97;0;True
Mercedes-Benz A-Class Limousine;3;Diesel;1950;4;5;Automatic;66;Sedan;4.5;13700000;25,400,000;320;3500;147.51;4000;True
Mercedes-Benz AMG G 63;8;Petrol;3982;8;5;Automatic;0;SUV;4.5;25500000;25,500,000;850;3500;576.63;6000;True
Mahindra Bolero Neo;1;Diesel;1493;3;7;Manual;50;SUV;4.5;13500000;25,700,000;260;2250;100;3750;True
